Simulation,Round,Informed
1,1,7
1,2,10
1,3,18
1,4,37
1,5,118
1,6,312
1,7,875
1,8,2188
1,9,4804
1,10,8028
1,11,9813
1,12,9998
1,13,10000
2,1,4
2,2,10
2,3,27
2,4,67
2,5,185
2,6,497
2,7,1265
2,8,3097
2,9,6177
2,10,9068
2,11,9952
2,12,10000
3,1,2
3,2,12
3,3,24
3,4,79
3,5,199
3,6,545
3,7,1358
3,8,3226
3,9,6321
3,10,9134
3,11,9963
3,12,10000
4,1,1
4,2,2
4,3,3
4,4,19
4,5,50
4,6,120
4,7,345
4,8,965
4,9,2414
4,10,5193
4,11,8374
4,12,9871
4,13,10000
5,1,3
5,2,5
5,3,25
5,4,64
5,5,166
5,6,462
5,7,1253
5,8,3039
5,9,6090
5,10,9043
5,11,9949
5,12,10000
6,1,2
6,2,2
6,3,6
6,4,16
6,5,35
6,6,95
6,7,284
6,8,763
6,9,1987
6,10,4502
6,11,7755
6,12,9740
6,13,9998
6,14,10000
7,1,5
7,2,22
7,3,57
7,4,125
7,5,295
7,6,841
7,7,2108
7,8,4569
7,9,7908
7,10,9760
7,11,9997
7,12,10000
8,1,2
8,2,12
8,3,32
8,4,77
8,5,169
8,6,454
8,7,1193
8,8,2861
8,9,5863
8,10,8884
8,11,9926
8,12,10000
9,1,4
9,2,12
9,3,36
9,4,102
9,5,270
9,6,679
9,7,1751
9,8,3950
9,9,7186
9,10,9541
9,11,9986
9,12,10000
10,1,2
10,2,9
10,3,36
10,4,96
10,5,277
10,6,744
10,7,1897
10,8,4261
10,9,7480
10,10,9646
10,11,9999
10,12,10000
