Simulation,Round,Informed
1,1,2
1,2,5
1,3,15
1,4,37
1,5,94
1,6,251
1,7,624
1,8,1538
1,9,3266
1,10,5700
1,11,7856
1,12,9084
1,13,9599
1,14,9841
1,15,9936
1,16,9975
1,17,9990
1,18,9993
1,19,9999
1,20,10000
2,1,2
2,2,5
2,3,13
2,4,34
2,5,89
2,6,243
2,7,629
2,8,1538
2,9,3337
2,10,5799
2,11,7902
2,12,9085
2,13,9614
2,14,9851
2,15,9943
2,16,9985
2,17,9993
2,18,9993
2,19,9998
2,20,9998
2,21,10000
3,1,3
3,2,8
3,3,17
3,4,47
3,5,134
3,6,343
3,7,884
3,8,2057
3,9,4130
3,10,6545
3,11,8357
3,12,9319
3,13,9729
3,14,9904
3,15,9958
3,16,9985
3,17,9994
3,18,9998
3,19,9999
3,20,10000
4,1,3
4,2,7
4,3,17
4,4,42
4,5,105
4,6,277
4,7,712
4,8,1731
4,9,3651
4,10,6082
4,11,8122
4,12,9219
4,13,9713
4,14,9899
4,15,9969
4,16,9990
4,17,9995
4,18,9998
4,19,9998
4,20,9999
4,21,9999
4,22,10000
5,1,3
5,2,8
5,3,22
5,4,62
5,5,168
5,6,430
5,7,1067
5,8,2438
5,9,4632
5,10,6991
5,11,8630
5,12,9467
5,13,9795
5,14,9931
5,15,9971
5,16,9987
5,17,9992
5,18,9998
5,19,9998
5,20,10000
6,1,3
6,2,8
6,3,18
6,4,49
6,5,125
6,6,321
6,7,848
6,8,2013
6,9,4055
6,10,6481
6,11,8330
6,12,9319
6,13,9722
6,14,9891
6,15,9960
6,16,9992
6,17,9996
6,18,9999
6,19,10000
7,1,5
7,2,13
7,3,38
7,4,96
7,5,253
7,6,658
7,7,1622
7,8,3425
7,9,5802
7,10,7853
7,11,9081
7,12,9654
7,13,9864
7,14,9942
7,15,9978
7,16,9991
7,17,9998
7,18,9998
7,19,9999
7,20,10000
8,1,3
8,2,8
8,3,21
8,4,51
8,5,131
8,6,336
8,7,858
8,8,2049
8,9,4118
8,10,6509
8,11,8390
8,12,9360
8,13,9743
8,14,9892
8,15,9959
8,16,9980
8,17,9993
8,18,9996
8,19,10000
